Paid,Organic,Social,Profit
165349,136898,471784,192261.83
162598,151378,443899,191792.06
153442,101146,407935,191050.39
144372,118672,383200,182901.99
142107,91392,366168,166187.94
131877,99815,362861,156991.12
134615,147199,127717,156122.51
130298,145530,323877,155752.6
120543,148719,311613,152211.77
123335,108679,304982,149759.96
101913,110594,229161,146121.95
100672,91791,249745,144259.4
93864,127320,249839,141585.52
91992,135495,252665,134307.35
119943,156547,256513,132602.65
114524,122617,261776,129917.04
78013,121598,264346,126992.93
94657,145078,282574,125370.37
91749,114176,294920,124266.9
86420,153514,0,122776.86
76254,113867,298664,118474.03
78389,153773,299737,111313.02
73995,122783,303319,110352.25
67533,105751,304769,108733.99
77044,99281,140575,108552.04
64665,139553,137963,107404.34
75329,144136,134050,105733.54
72108,127865,353184,105008.31
66052,182646,118148,103282.38
65605,153032,107138,101004.64
61994,115641,91131,99937.59
61136,152702,88218,97483.56
63409,129220,46085,97427.84
55494,103057,214635,96778.92
46426,157694,210798,96712.8
46014,85047,205518,96479.51
28664,127056,201127,90708.19
44070,51283,197029,89949.14
20230,65948,185265,81229.06
38559,82982,174999,81005.76
28754,118546,172796,78239.91
27893,84711,164471,77798.83
23641,96190,148001,71498.49
15506,127382,35534,69758.98
22178,154806,28335,65200.33
1000,124153,1904,64926.08
1315,115816,297114,49490.75
0,135427,0,42559.73
542,51743,0,35673.41
0,116984,45173,14681.4
87151,123328,236937,123485.2464
38772,116183,143590,82155.48418
89939,123740,242317,125867.0108
65485,120128,195133,104976.1696
47724,117505,160863,89803.10053
30744,114998,128100,75297.23305
76381,121737,216156,114284.5283
143923,131712,346479,171985.0761
27280,114486,121416,72337.96774
141092,131294,341016,169566.5772
128338,129411,316408,158670.9451
76660,121779,216695,114522.8756
43088,116821,151917,85842.60573
60955,119459,186392,101106.2297
12052,112237,92033,59328.81874
126549,129146,312956,157142.6178
22986,113852,113131,68669.64059
150633,132703,359426,177717.3712
53116,118302,171267,94409.4396
157923,133780,373492,183945.1553
39157,116240,144333,82484.38635
111768,126964,284436,144515.3371
65903,120190,195939,105333.2634
85800,123128,234330,122331.0988
139796,131103,338516,168459.4156
13947,112517,95690,60947.70089
133094,130113,325584,162733.9549
155148,133370,368138,181574.4968
28731,114700,124216,73577.54452
41847,116637,149523,84782.43014
140277,131174,339444,168870.3298
27595,114532,122024,72607.06952
9078,111798,86295,56788.15621
21586,113645,110429,67473.63267
4330,111097,77134,52731.98078
106761,126224,274775,140237.9002
137618,130781,334313,166598.769
63161,119785,190648,102990.7964
34384,115535,135123,78406.85364
73431,121302,210464,111764.3688
17125,112986,101822,63662.63887
109497,126628,280054,142575.2414
78366,122031,219986,115980.2967
98190,124958,258237,132915.7689
125158,128941,310272,155954.2985
138570,130922,336150,167412.0544
46445,117316,158395,88710.46186
134739,130356,328758,164139.2642
96620,124726,255208,131574.5314
140797,131251,340447,169314.5613
44017,116958,153710,86636.24242
150342,132660,358864,177468.7724
127529,129291,314847,157979.8234
9261,111825,86648,56944.49153
57905,119009,180507,98500.64098
44699,117058,155026,87218.86913
151853,132883,361780,178759.6067
61613,119556,187661,101668.3534
120275,128220,300850,151782.7938
23224,113887,113590,68872.96194
105331,126013,272015,139016.2635
23501,113928,114124,69109.60065
7092,111504,82463,55091.53354
102136,125541,265851,136286.8026
85772,123124,234276,122307.1786
123288,128665,306664,154356.7737
76992,121828,217335,114806.5004
7715,111596,83665,55623.75707
29104,114755,124935,73896.1952
144996,131871,348549,172901.7308
94169,124364,250478,129480.6633
78261,122015,219784,115890.5961
140902,131266,340650,169404.2619
131845,129929,323174,161666.9449
1269,110645,71228,50116.99489
43990,116954,153658,86613.17655
49875,117823,165013,91640.68127
105070,125974,271512,138793.2935
93591,124279,249363,128986.8828
73077,121249,209781,111461.9497
94548,124420,251210,129804.4397
151956,132899,361979,178847.5987
60864,119446,186216,101028.4891
102790,125638,267113,136845.5092
53315,118331,171650,94579.44358
116723,127695,293996,148748.3508
49288,117736,163880,91139.21223
145513,131947,349547,173343.3994
148513,132390,355335,175906.2735
74741,121495,212992,112883.4905
104234,125851,269899,138079.1059
34715,115584,135762,78689.62408
107457,126327,276118,140832.487
156016,133498,369812,182316.0217
93879,124322,249919,129232.9188
121139,128347,302517,152520.9015
99283,125120,260346,133849.5093
140934,131271,340712,169431.5992
70585,120881,204973,109333.0556
84834,122986,232466,121505.8533
70098,120809,204033,108917.0157
140809,131252,340470,169324.8128
131560,129886,322624,161423.4719
143330,131625,345335,171478.4813
103756,125780,268977,137670.7546
66195,120233,196502,105582.7164
108206,126437,277563,141472.3512
141099,131295,341030,169572.5573
91258,123934,244862,126993.8211
82771,122681,228486,119743.4502
63354,119814,191021,103155.6747
43639,116902,152981,86313.32028
66303,120249,196711,105674.9799
120844,128304,301948,152268.8856
61968,119609,188346,101971.6268
137388,130747,333870,166402.282
41818,116633,149467,84757.65569
109162,126579,279407,142289.0538
124648,128866,309288,155518.6099
150584,132696,359331,177675.5109
72698,121193,209050,111138.1732
109398,126613,279863,142490.6665
19644,113358,106682,65814.59883
46632,117344,158756,88870.21435
89242,123637,240972,125271.5697
133947,130239,327230,163462.6654
123502,128696,307076,154539.592
119535,128111,299422,151150.6182
151311,132803,360734,178296.5808
67153,120375,198351,106401.1276
32321,115230,131142,76644.45054
71633,121036,206995,110228.3529
86080,123170,234871,122570.3004
6055,111351,80462,54205.63339
29050,114747,124831,73850.06347
79974,122268,223089,117353.9972
17303,113012,102165,63814.70273
21265,113598,109810,67199.40514
154934,133338,367725,181391.6784
155120,133366,368084,181550.5766
126307,129111,312489,156935.8793
155154,133371,368149,181579.6225
53078,118296,171193,94376.97653
31835,115159,130205,76229.26494
